Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks
140,Amadou Diallo,eng ENG,MF,Newcastle Utd,20,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
141,Rúben Dias,pt POR,DF,Manchester City,26,1997,28.4,2635,2567,65,46,2,7,13,11,0,0,0,0,2469,3,8
142,Luis Díaz,co COL,FW,Liverpool,26,1997,29.2,1075,1040,29,4,4,11,26,24,0,0,0,0,898,6,29
143,Eric Dier,eng ENG,DF,Tottenham,29,1994,2.2,141,132,9,6,0,0,0,0,0,0,0,0,125,0,0
144,Lucas Digne,fr FRA,DF,Aston Villa,30,1993,26.8,1351,1095,253,36,0,4,154,181,36,25,5,0,1015,3,42
145,Issa Diop,fr FRA,DF,Fulham,26,1997,15.8,1080,1041,37,22,1,5,0,2,0,0,0,0,950,2,13
146,Axel Disasi,fr FRA,DF,Chelsea,25,1998,28.7,2256,2153,98,49,3,11,10,43,0,0,0,0,2031,5,19
147,Ben Doak,sct SCO,FW,Liverpool,17,2005,0.2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
148,Lewis Dobbin,eng ENG,MF,Everton,20,2003,2.6,65,60,3,1,0,0,7,2,0,0,0,0,44,2,3
149,Matt Doherty,ie IRL,"DF,MF",Wolves,31,1992,12.8,653,566,87,11,0,5,13,76,0,0,0,0,515,0,18
150,Jeremy Doku,be BEL,"FW,MF",Manchester City,21,2002,17.7,852,844,8,0,2,2,61,5,3,0,0,0,693,0,34
151,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,25,1998,16.6,843,817,22,10,2,5,6,4,1,0,1,0,714,4,13
152,Jamie Donley,eng ENG,FW,Tottenham,18,2005,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
153,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,30,1993,29.2,893,876,16,0,1,1,26,0,0,0,0,0,683,1,29
154,Cheick Doucouré,ml MLI,MF,Crystal Palace,23,2000,10.2,422,418,4,4,5,0,1,0,0,0,0,0,367,0,7
155,Alfie Doughty,eng ENG,DF,Luton Town,23,1999,32.5,1686,1190,489,89,0,9,340,249,151,66,80,5,1121,7,60
156,Tommy Doyle,eng ENG,MF,Wolves,21,2001,13.6,955,878,69,44,2,15,28,8,15,8,3,0,801,8,11
157,Radu Drăgușin,ro ROU,DF,Tottenham,21,2002,4.8,370,352,18,8,1,0,0,1,0,0,0,0,326,0,3
158,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34,1989,22.1,651,443,206,37,0,1,0,0,0,0,0,0,519,2,0
159,Paul Dummett,wls WAL,DF,Newcastle Utd,31,1991,0.2,23,22,1,0,0,0,0,1,0,0,0,0,21,0,0
160,Lewis Dunk,eng ENG,DF,Brighton,31,1991,31.9,3233,3005,219,115,2,16,7,5,0,0,0,0,2977,9,5
161,Jhon Durán,co COL,"FW,MF",Aston Villa,19,2003,5.3,121,117,4,1,0,0,6,1,0,0,0,0,83,0,10
162,George Earthy,eng ENG,FW,West Ham,18,2004,0.4,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0
163,Ederson,br BRA,GK,Manchester City,29,1993,30.9,1234,1077,157,43,0,9,0,0,0,0,0,0,1077,0,1
164,Odsonne Édouard,fr FRA,"FW,MF",Crystal Palace,25,1998,17.3,350,338,9,0,4,0,10,0,1,0,0,0,249,3,20
165,John Egan,ie IRL,DF,Sheffield Utd,30,1992,5.4,185,181,2,2,0,0,0,0,0,0,0,0,128,2,1
166,Hjalmar Ekdal,se SWE,DF,Burnley,24,1998,4.9,217,213,4,4,0,2,0,0,0,0,0,0,191,0,1
167,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,21,2002,27.0,712,695,13,0,4,2,58,6,0,0,0,0,498,4,37
168,Harvey Elliott,eng ENG,"MF,FW",Liverpool,20,2003,15.0,986,932,44,4,3,8,62,10,19,9,7,0,825,10,17
169,Mohamed Elneny,eg EGY,MF,Arsenal,31,1992,0.3,40,39,1,1,0,0,0,0,0,0,0,0,39,0,0
170,Emerson,br BRA,DF,Tottenham,24,1999,12.9,1038,915,122,45,1,2,14,75,0,0,0,0,937,1,23
171,Julio Enciso,py PAR,"MF,FW",Brighton,19,2004,5.3,178,168,8,2,2,0,8,1,2,0,0,0,132,2,5
172,Wataru Endo,jp JPN,MF,Liverpool,30,1993,19.1,1315,1295,16,13,5,1,4,2,0,0,0,0,1157,4,19
173,Christian Eriksen,dk DEN,MF,Manchester Utd,31,1992,12.7,805,745,55,25,5,9,43,3,26,12,8,2,648,5,13
174,Maxime Estève,fr FRA,DF,Burnley,21,2002,14.5,821,754,66,13,1,3,5,5,0,0,0,0,690,1,10
175,Pervis Estupiñán,ec ECU,DF,Brighton,25,1998,13.8,962,851,107,22,1,3,65,73,12,6,2,0,809,4,20
176,Jonny Evans,nir NIR,DF,Manchester Utd,35,1988,15.5,832,778,51,18,1,0,0,3,0,0,0,0,729,3,7
177,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,25,1998,22.8,909,759,144,54,7,6,107,5,71,30,23,3,700,6,20
178,Łukasz Fabiański,pl POL,GK,West Ham,38,1985,8.0,239,161,77,21,0,3,0,0,0,0,0,0,160,1,1
179,Romain Faivre,fr FRA,"MF,FW",Bournemouth,25,1998,0.5,26,25,1,1,0,0,3,0,0,0,0,0,19,0,0
180,Ansu Fati,es ESP,"MF,FW",Brighton,20,2002,5.8,210,203,4,2,1,1,3,0,0,0,0,0,178,3,10
181,Felipe,br BRA,DF,Nott'ham Forest,34,1989,4.2,215,206,8,7,0,1,0,1,0,0,0,0,183,1,1
182,Evan Ferguson,ie IRL,FW,Brighton,18,2004,15.2,303,269,32,0,1,0,1,0,0,0,0,0,244,2,13
183,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,28,1994,34.6,2179,1872,284,64,30,22,223,22,151,46,55,8,1590,23,62
184,Enzo Fernández,ar ARG,MF,Chelsea,22,2001,24.5,1862,1756,89,52,21,28,45,5,22,4,7,0,1574,17,30
185,John Fleck,sct SCO,"MF,DF",Sheffield Utd,31,1991,1.0,40,36,4,2,1,0,0,0,0,0,0,0,29,0,0
186,Mark Flekken,nl NED,GK,Brentford,30,1993,36.5,1580,1122,455,166,0,5,0,0,0,0,0,0,1131,3,0
187,Phil Foden,eng ENG,"FW,MF",Manchester City,23,2000,31.7,1767,1684,79,19,15,6,89,4,50,26,14,0,1511,4,49
188,Wes Foderingham,eng ENG,GK,Sheffield Utd,32,1991,29.4,1054,658,386,124,0,4,0,0,0,0,0,0,595,10,1
189,Pablo Fornals,es ESP,"MF,FW",West Ham,27,1996,4.7,210,204,6,2,0,2,8,2,0,0,0,0,162,0,6
