Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
103,Leon Chiwome,eng ENG,FW,Wolves,17,2006,1.9,2,1,0,1,1,1,2,50.0,1,3,1,2,0,2,2,0
104,Tahith Chong,nl NED,"MF,FW",Luton Town,23,1999,22.0,36,22,19,13,4,15,33,45.5,18,30,6,24,8,44,11,1
105,Ryan Christie,sct SCO,MF,Bournemouth,28,1995,32.3,86,44,34,35,17,39,92,42.4,53,52,11,41,52,138,53,1
106,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,19,2003,2.5,6,4,3,3,0,1,3,33.3,2,1,1,0,0,6,1,0
107,Bobby Clark,eng ENG,MF,Liverpool,18,2005,1.0,2,1,1,1,0,1,5,20.0,4,6,2,4,1,3,1,0
108,Jordan Clark,eng ENG,MF,Luton Town,29,1993,14.5,30,17,14,11,5,11,39,28.2,28,24,3,21,11,41,15,1
109,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32,1991,14.9,24,15,11,11,2,14,21,66.7,7,18,6,12,10,34,33,0
110,Séamus Coleman,ie IRL,DF,Everton,34,1988,7.4,17,14,10,3,4,11,16,68.8,5,12,4,8,7,24,26,1
111,Nathan Collins,ie IRL,DF,Brentford,22,2001,29.5,38,20,24,12,2,19,29,65.5,10,46,30,16,44,82,141,4
112,Levi Colwill,eng ENG,DF,Chelsea,20,2003,20.0,48,30,26,17,5,26,34,76.5,8,28,10,18,26,74,66,0
113,Lewis Cook,eng ENG,MF,Bournemouth,26,1997,31.0,61,41,24,30,7,34,63,54.0,29,32,11,21,65,126,46,1
114,Jack Cork,eng ENG,MF,Burnley,34,1989,0.3,2,0,0,2,0,1,3,33.3,2,0,0,0,1,3,1,0
