Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
106,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,19,2003,2.5,115,134,85.8,1476,266,82,88,93.2,26,31,83.9,4,5,80.0,1,0.3,0.3,+0.7,4,4,6,0,12
107,Bobby Clark,eng ENG,MF,Liverpool,18,2005,1.0,38,49,77.6,465,64,23,29,79.3,11,12,91.7,1,2,50.0,0,0.0,0.0,0.0,0,3,0,0,3
108,Jordan Clark,eng ENG,MF,Luton Town,29,1993,14.5,369,513,71.9,6108,1636,180,231,77.9,136,173,78.6,33,63,52.4,1,1.3,1.2,-0.3,12,19,18,4,51
109,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32,1991,14.9,495,600,82.5,7555,3021,266,288,92.4,191,224,85.3,28,54,51.9,0,0.2,0.2,-0.2,3,33,4,2,33
110,Séamus Coleman,ie IRL,DF,Everton,34,1988,7.4,207,306,67.6,3381,1481,111,132,84.1,76,103,73.8,16,51,31.4,0,1.0,0.7,-1.0,3,15,4,2,22
111,Nathan Collins,ie IRL,DF,Brentford,22,2001,29.5,1261,1552,81.3,23470,8772,462,528,87.5,660,757,87.2,116,214,54.2,1,2.2,1.1,-1.2,11,78,6,0,97
112,Levi Colwill,eng ENG,DF,Chelsea,20,2003,20.0,965,1163,83.0,16310,5939,444,495,89.7,456,508,89.8,51,117,43.6,1,1.2,0.5,-0.2,7,82,6,0,73
113,Lewis Cook,eng ENG,MF,Bournemouth,26,1997,31.0,1135,1487,76.3,20294,6864,458,539,85.0,539,616,87.5,112,257,43.6,3,4.3,3.0,-1.3,46,138,20,4,142
114,Jack Cork,eng ENG,MF,Burnley,34,1989,0.3,25,33,75.8,370,77,13,16,81.3,10,10,100.0,1,3,33.3,0,0.0,0.0,0.0,0,5,0,0,4
115,Maxwel Cornet,ci CIV,"MF,FW",West Ham,26,1996,1.2,36,49,73.5,407,70,27,34,79.4,6,8,75.0,0,1,0.0,0,0.2,0.0,-0.2,4,0,0,0,2
116,Vladimír Coufal,cz CZE,DF,West Ham,30,1992,34.8,1154,1665,69.3,18778,9229,596,669,89.1,448,627,71.5,84,254,33.1,7,4.0,3.0,+3.0,33,98,38,21,119
117,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,31,1992,0.3,20,24,83.3,265,63,11,14,78.6,8,9,88.9,0,0,,0,0.0,0.0,0.0,0,4,0,0,5
118,Aaron Cresswell,eng ENG,"DF,FW",West Ham,33,1989,4.8,254,308,82.5,4176,1722,142,155,91.6,80,96,83.3,25,48,52.1,0,0.4,0.3,-0.4,5,15,4,0,26
119,Marc Cucurella,es ESP,DF,Chelsea,25,1998,19.8,1036,1196,86.6,15110,4408,595,645,92.2,383,430,89.1,32,65,49.2,2,1.1,1.2,+0.9,19,51,7,4,50
120,Josh Cullen,ie IRL,MF,Burnley,27,1996,22.9,1173,1373,85.4,18812,4917,617,667,92.5,466,521,89.4,69,127,54.3,3,1.8,2.3,+1.2,26,119,17,3,123
121,Matheus Cunha,br BRA,"FW,MF",Wolves,24,1999,27.1,658,831,79.2,8887,2308,411,476,86.3,182,229,79.5,32,57,56.1,7,3.2,3.0,+3.8,28,56,31,1,87
122,Sam Curtis,ie IRL,DF,Sheffield Utd,17,2005,0.3,6,10,60.0,98,37,3,4,75.0,3,3,100.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,1
123,Mahmoud Dahoud,de GER,MF,Brighton,27,1996,5.0,284,328,86.6,4011,886,169,176,96.0,84,99,84.8,16,25,64.0,1,0.9,0.4,+0.1,10,21,1,1,11
124,Ameen Al-Dakhil,be BEL,DF,Burnley,21,2002,11.7,537,637,84.3,9642,2939,208,220,94.5,280,321,87.2,42,77,54.5,0,0.1,0.6,-0.1,2,13,2,0,35
125,Diogo Dalot,pt POR,DF,Manchester Utd,24,1999,35.3,1486,1830,81.2,24927,8066,729,817,89.2,574,701,81.9,139,213,65.3,3,2.9,2.4,+0.1,37,107,31,16,124
126,Mikkel Damsgaard,dk DEN,MF,Brentford,23,2000,9.4,300,432,69.4,4940,1897,151,194,77.8,116,151,76.8,26,55,47.3,2,1.4,0.9,+0.6,10,50,11,1,61
127,Danilo,br BRA,MF,Nott'ham Forest,22,2001,19.9,589,758,77.7,10498,3239,255,297,85.9,247,286,86.4,70,123,56.9,2,1.5,0.7,+0.5,20,74,14,0,83
128,Arnaut Danjuma,nl NED,"MF,FW",Everton,26,1997,6.6,102,152,67.1,1420,357,57,69,82.6,37,54,68.5,2,7,28.6,0,1.1,0.4,-1.1,6,6,2,0,9
129,Jayden Danns,eng ENG,FW,Liverpool,17,2006,0.1,5,7,71.4,73,16,3,4,75.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,1,0,1
130,Josh Dasilva,eng ENG,"DF,FW",Brentford,24,1998,0.3,10,19,52.6,153,59,5,7,71.4,5,7,71.4,0,2,0.0,0,0.2,0.2,-0.2,1,0,0,0,2
131,David Datro Fofana,ci CIV,FW,Burnley,20,2002,9.8,117,173,67.6,1574,343,67,94,71.3,36,49,73.5,5,6,83.3,1,1.8,0.3,-0.8,8,9,5,1,15
132,Ben Davies,wls WAL,DF,Tottenham,30,1993,12.1,766,850,90.1,13839,5258,303,324,93.5,388,413,93.9,60,81,74.1,0,0.4,0.6,-0.4,4,80,4,0,71
133,Tom Davies,eng ENG,MF,Sheffield Utd,25,1998,2.5,68,99,68.7,901,310,41,50,82.0,20,27,74.1,2,7,28.6,0,0.1,0.2,-0.1,1,6,1,0,8
134,Craig Dawson,eng ENG,DF,Wolves,33,1990,24.5,1104,1277,86.5,23417,8062,296,333,88.9,640,679,94.3,158,237,66.7,1,1.4,0.6,-0.4,9,52,2,0,49
135,Kevin De Bruyne,be BEL,MF,Manchester City,32,1991,13.6,732,971,75.4,11555,3364,426,481,88.6,223,293,76.1,66,134,49.3,10,11.5,7.1,-1.5,59,67,56,12,111
