Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
295,Kai Havertz,de GER,"MF,FW",Arsenal,24,1999,37,2634,71,77.0,29.3,30,83,18,7,19,0,2.41,77,22,+55,+1.88,+1.08,60.7,20.6,+40.1,+1.37,+0.44
296,Travis Hearnes,no NOR,MF,Newcastle Utd,17,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
297,Tom Heaton,eng ENG,GK,Manchester Utd,37,1986,0,,,,,0,,0,0,,4,,,,,,,,,,,
298,Jan Paul van Hecke,nl NED,DF,Brighton,23,2000,28,2369,85,69.3,26.3,26,90,26,2,15,4,1.32,40,38,+2,+0.08,+0.85,38.7,37.2,+1.5,+0.06,+0.06
299,Hwang Hee-chan,kr KOR,"FW,MF",Wolves,27,1996,29,2119,73,62.0,23.5,25,80,14,4,32,0,1.31,35,37,-2,-0.08,+0.81,29.2,39.3,-10.1,-0.43,+0.32
300,Dean Henderson,eng ENG,GK,Manchester Utd,26,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
301,Dean Henderson,eng ENG,GK,Crystal Palace,26,1997,18,1620,90,47.4,18.0,18,90,18,0,,7,1.56,36,30,+6,+0.33,+0.68,23.1,25.6,-2.6,-0.14,-0.10
302,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,36,1987,0,,,,,0,,0,0,,1,,,,,,,,,,,
303,Rico Henry,eng ENG,DF,Brentford,26,1997,5,401,80,11.7,4.5,5,80,4,0,,0,1.20,8,5,+3,+0.67,+1.03,9.8,5.1,+4.7,+1.05,+1.12
304,Owen Hesketh,wls WAL,MF,Wolves,20,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
305,Son Heung-min,kr KOR,FW,Tottenham,31,1992,35,2934,84,85.8,32.6,34,85,19,1,29,0,1.74,63,51,+12,+0.37,+0.18,59.4,53.9,+5.4,+0.17,+0.29
306,Aaron Hickey,sct SCO,DF,Brentford,21,2002,9,713,79,20.8,7.9,9,79,2,0,,0,1.11,10,12,-2,-0.25,-0.02,10.3,10.3,+0.1,+0.01,-0.07
307,James Hill,eng ENG,DF,Bournemouth,21,2002,5,76,15,2.2,0.8,1,54,0,4,6,10,2.00,1,1,0,0.00,+0.35,1.5,1.3,+0.2,+0.20,+0.27
308,Jack Hinshelwood,eng ENG,DF,Brighton,18,2005,12,869,72,25.4,9.7,8,81,3,4,56,4,1.33,15,17,-2,-0.21,-0.03,16.4,14.5,+1.9,+0.20,+0.22
309,Joseph Hodge,ie IRL,MF,Wolves,20,2002,0,,,,,0,,0,0,,9,,,,,,,,,,,
310,Rob Holding,eng ENG,DF,Crystal Palace,27,1995,0,,,,,0,,0,0,,10,,,,,,,,,,,
311,Mason Holgate,eng ENG,DF,Sheffield Utd,26,1996,10,710,71,20.8,7.9,9,76,4,1,22,2,0.50,11,22,-11,-1.39,+0.53,9.4,14.2,-4.8,-0.61,+0.51
312,Fletcher Holman,eng ENG,FW,Wolves,18,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
313,Ethan Horvath,us USA,GK,Nott'ham Forest,28,1995,0,,,,,0,,0,0,,4,,,,,,,,,,,
314,Justin Hubner,id IDN,DF,Wolves,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
315,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,22,2000,29,1854,64,54.2,20.6,20,82,9,9,24,1,0.86,32,41,-9,-0.44,+0.08,32.4,28.2,+4.2,+0.21,+0.64
316,Will Hughes,eng ENG,MF,Crystal Palace,28,1995,30,1891,63,55.3,21.0,23,78,8,7,15,1,1.23,29,38,-9,-0.43,-0.90,23.1,29.4,-6.3,-0.30,-0.47
317,Joe Hugill,eng ENG,FW,Manchester Utd,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
318,Bashir Humphreys,eng ENG,DF,Chelsea,20,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
319,Mackenzie Hunt,ae UAE,DF,Everton,21,2001,0,,,,,0,,0,0,,17,,,,,,,,,,,
320,Pierre Højbjerg,dk DEN,MF,Tottenham,27,1995,36,1311,36,38.3,14.6,8,83,4,28,23,2,1.81,31,28,+3,+0.21,-0.22,27.6,25.4,+2.2,+0.15,+0.04
321,Rasmus Højlund,dk DEN,FW,Manchester Utd,20,2003,30,2158,72,63.1,24.0,25,81,8,5,26,0,1.60,36,35,+1,+0.04,+0.18,35.1,40.9,-5.8,-0.24,+0.23
322,Bradley Ibrahim,eng ENG,MF,Arsenal,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
323,Igor,br BRA,DF,Brighton,25,1998,24,1637,68,47.9,18.2,17,82,11,7,34,10,1.17,22,26,-4,-0.22,-0.07,26.6,24.3,+2.3,+0.13,+0.17
324,Danny Ings,eng ENG,FW,West Ham,31,1992,20,404,20,11.8,4.5,3,80,1,17,10,18,0.95,5,10,-5,-1.11,-0.85,6.8,10.6,-3.8,-0.85,-0.40
325,Tim Iroegbunam,eng ENG,MF,Aston Villa,20,2003,9,164,18,4.8,1.8,1,62,0,8,13,16,1.44,2,7,-5,-2.74,-3.30,2.0,5.3,-3.3,-1.82,-2.00
326,Alexander Isak,se SWE,FW,Newcastle Utd,23,1999,30,2255,75,65.9,25.1,27,80,13,3,32,1,1.50,51,41,+10,+0.40,-0.61,51.2,43.1,+8.1,+0.32,-0.19
327,Alex Iwobi,ng NGA,MF,Everton,27,1996,2,140,70,4.1,1.6,2,70,1,0,,0,0.00,0,3,-3,-1.93,-1.71,2.9,3.3,-0.3,-0.21,-0.18
328,Alex Iwobi,ng NGA,"FW,MF",Fulham,27,1996,30,2192,73,64.1,24.4,25,81,9,5,34,0,1.27,38,38,0,0.00,+0.44,34.7,33.9,+0.7,+0.03,+0.97
329,Ben Jackson,eng ENG,DF,Brighton,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
330,Louis Jackson,sct SCO,DF,Manchester Utd,17,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,
331,Nicolas Jackson,sn SEN,FW,Chelsea,22,2001,35,2799,80,81.8,31.1,31,86,17,4,31,0,1.63,65,48,+17,+0.55,+0.98,64.3,46.5,+17.7,+0.57,+0.76
332,Karl Jakob Hein,ee EST,GK,Arsenal,21,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,
333,Reece James,eng ENG,DF,Chelsea,23,1999,10,419,42,12.3,4.7,5,62,0,5,21,0,1.20,8,11,-3,-0.64,-1.15,8.1,9.6,-1.5,-0.33,-0.87
334,Vitaly Janelt,de GER,"MF,DF",Brentford,25,1998,38,3054,80,89.3,33.9,37,82,16,1,18,0,1.03,50,52,-2,-0.06,+1.66,50.8,47.7,+3.1,+0.09,+0.31
335,Daniel Jebbison,eng ENG,FW,Sheffield Utd,19,2003,1,21,21,0.6,0.2,0,,0,1,21,0,0.00,0,0,0,0.00,+1.83,0.1,1.0,-0.9,-3.85,-2.85
336,Mathias Jensen,dk DEN,MF,Brentford,27,1996,32,2204,69,64.4,24.5,27,77,5,5,27,0,1.09,37,45,-8,-0.33,-0.25,34.8,36.8,-2.1,-0.08,-0.40
337,Gabriel Jesus,br BRA,FW,Arsenal,26,1997,27,1478,55,43.2,16.4,17,78,4,10,16,3,2.19,29,11,+18,+1.10,-0.94,31.3,11.4,+19.9,+1.21,-0.10
338,Raúl Jiménez,mx MEX,FW,Fulham,32,1991,24,1395,58,40.8,15.5,18,71,4,6,19,5,1.25,25,26,-1,-0.06,+0.16,17.3,28.8,-11.5,-0.74,-0.71
339,Kim Jisoo,kr KOR,DF,Brentford,18,2004,0,,,,,0,,0,0,,8,,,,,,,,,,,
340,João Pedro,br BRA,"FW,MF",Brighton,21,2001,31,2045,66,59.8,22.7,19,85,9,12,36,0,1.29,32,38,-6,-0.26,-0.20,36.3,32.0,+4.2,+0.19,+0.37
341,Joelinton,br BRA,"MF,FW",Newcastle Utd,26,1996,20,1279,64,37.4,14.2,15,79,8,5,18,0,1.45,26,23,+3,+0.21,-0.63,26.6,24.7,+1.9,+0.13,-0.41
342,Ryan John Giles,eng ENG,"DF,MF",Luton Town,23,2000,11,503,46,14.7,5.6,5,81,2,6,17,9,0.64,5,14,-9,-1.61,-0.87,5.3,13.3,-8.1,-1.44,-0.60
343,Ben Johnson,eng ENG,"DF,FW",West Ham,23,2000,14,544,39,15.9,6.0,4,90,4,10,18,11,1.14,5,16,-11,-1.82,-1.73,7.4,12.5,-5.1,-0.85,-0.42
344,Brennan Johnson,wls WAL,FW,Tottenham,22,2001,32,2085,65,61.0,23.2,23,79,8,9,31,0,1.56,49,37,+12,+0.52,+0.45,42.1,40.6,+1.5,+0.06,-0.16
345,Brennan Johnson,wls WAL,"FW,MF",Nott'ham Forest,22,2001,3,237,79,6.9,2.6,3,79,0,0,,0,1.00,4,5,-1,-0.38,+0.10,2.9,2.8,+0.1,+0.03,+0.13
346,Joseph Johnson,eng ENG,DF,Luton Town,17,2006,2,77,39,2.3,0.9,0,,0,2,39,17,0.00,2,5,-3,-3.51,-2.70,1.5,1.8,-0.3,-0.37,+0.58
347,Sam Johnstone,eng ENG,GK,Crystal Palace,30,1993,20,1796,90,52.5,20.0,20,90,19,0,,4,1.05,21,27,-6,-0.30,-0.58,25.2,26.3,-1.1,-0.05,+0.07
348,Curtis Jones,eng ENG,MF,Liverpool,22,2001,23,1167,51,34.1,13.0,14,70,4,9,20,4,1.96,31,17,+14,+1.08,-0.16,31.7,15.5,+16.2,+1.25,+0.22
349,Jorginho,it ITA,MF,Arsenal,31,1991,24,921,38,26.9,10.2,10,78,3,14,10,13,2.42,25,11,+14,+1.37,-0.36,21.2,8.2,+13.0,+1.27,+0.01
350,Diogo Jota,pt POR,FW,Liverpool,26,1996,21,1145,55,33.5,12.7,14,71,3,7,22,1,2.29,34,10,+24,+1.89,+1.06,28.5,14.0,+14.5,+1.14,+0.05
351,Mads Juel Andersen,dk DEN,DF,Luton Town,25,1997,8,400,50,11.7,4.4,4,78,2,4,22,4,1.13,2,6,-4,-0.90,-0.04,3.5,7.3,-3.8,-0.86,+0.08
352,Hamed Junior Traorè,ci CIV,MF,Bournemouth,23,2000,3,47,16,1.4,0.5,0,,0,3,16,7,0.00,0,1,-1,-1.91,-1.59,1.3,0.8,+0.5,+0.93,+1.00
353,Mathias Jørgensen,dk DEN,DF,Brentford,33,1990,14,1087,78,31.8,12.1,12,90,11,2,4,23,0.57,16,24,-8,-0.66,-0.62,14.8,19.7,-4.9,-0.41,-0.68
354,Issa Kaboré,bf BFA,DF,Luton Town,22,2001,24,1729,72,50.6,19.2,21,79,13,3,24,4,0.58,23,39,-16,-0.83,+0.07,18.2,36.8,-18.7,-0.97,-0.07
355,Sasa Kalajdzic,at AUT,FW,Wolves,26,1997,11,166,15,4.9,1.8,1,60,0,10,11,9,1.09,6,2,+4,+2.17,+2.69,5.5,2.7,+2.8,+1.50,+2.16
356,Boubacar Kamara,fr FRA,MF,Aston Villa,23,1999,20,1652,83,48.3,18.4,20,83,10,0,,0,2.05,36,22,+14,+0.76,+0.71,31.1,24.7,+6.4,+0.35,+0.50
357,Willy Kambwala,fr FRA,DF,Manchester Utd,18,2004,8,330,41,9.6,3.7,3,88,2,5,13,8,1.00,5,10,-5,-1.36,-1.48,3.3,8.3,-5.0,-1.37,-1.16
358,Thomas Kaminski,be BEL,GK,Luton Town,30,1992,38,3405,90,99.6,37.8,38,90,37,0,,0,0.68,52,85,-33,-0.87,-0.87,42.1,77.6,-35.4,-0.94,-0.34
359,Loris Karius,de GER,GK,Newcastle Utd,30,1993,1,90,90,2.6,1.0,1,90,1,0,,21,0.00,1,4,-3,-3.00,-3.70,0.2,2.8,-2.7,-2.69,-3.16
360,Leigh Kavanagh,ie IRL,DF,Brighton,19,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,
361,Michael Keane,eng ENG,DF,Everton,30,1993,9,439,49,12.8,4.9,4,83,3,5,21,26,0.67,2,13,-11,-2.26,-2.26,5.6,10.2,-4.6,-0.95,-1.06
362,Thilo Kehrer,de GER,"DF,MF",West Ham,26,1996,4,22,6,0.6,0.2,0,,0,4,6,14,1.75,0,1,-1,-4.09,-3.75,0.5,0.5,+0.1,+0.29,+0.79
363,Caoimhín Kelleher,ie IRL,GK,Liverpool,24,1998,10,900,90,26.3,10.0,10,90,10,0,,27,2.60,26,11,+15,+1.50,+0.43,25.7,10.3,+15.4,+1.54,+0.58
364,Lloyd Kelly,eng ENG,DF,Bournemouth,24,1998,23,1559,68,45.6,17.3,17,83,12,6,25,0,1.13,22,32,-10,-0.58,-0.43,24.4,25.0,-0.6,-0.03,+0.04
365,Omari Kellyman,eng ENG,FW,Aston Villa,17,2005,2,37,19,1.1,0.4,0,,0,2,19,10,0.00,0,1,-1,-2.43,-2.86,0.1,0.9,-0.9,-2.14,-2.25
366,Milos Kerkez,hu HUN,DF,Bournemouth,19,2003,28,1970,70,57.6,21.9,22,83,11,6,25,3,1.14,25,37,-12,-0.55,-0.49,29.8,35.4,-5.6,-0.26,-0.47
367,Kaine Kesler-Hayden,eng ENG,"MF,DF",Aston Villa,20,2002,3,6,2,0.2,0.1,0,,0,3,2,14,2.00,0,0,0,0.00,-0.40,0.0,0.1,-0.1,-1.66,-1.75
368,Gavin Kilkenny,ie IRL,MF,Bournemouth,23,2000,0,,,,,0,,0,0,,7,,,,,,,,,,,
369,Max Kilman,eng ENG,DF,Wolves,26,1997,38,3420,90,100.0,38.0,38,90,38,0,,0,1.21,50,65,-15,-0.39,,46.7,67.7,-21.0,-0.55,
370,Joshua King,eng ENG,MF,Fulham,16,2007,0,,,,,0,,0,0,,2,,,,,,,,,,,
371,Tom King,wls WAL,GK,Wolves,28,1995,0,,,,,0,,0,0,,4,,,,,,,,,,,
372,Jakub Kiwior,pl POL,DF,Arsenal,23,2000,20,946,47,27.7,10.5,11,80,7,9,7,18,2.65,39,8,+31,+2.95,+1.82,24.8,5.4,+19.4,+1.85,+0.80
373,Justin Kluivert,nl NED,"MF,FW",Bournemouth,24,1999,32,1916,60,56.0,21.3,26,68,0,6,24,6,1.22,29,23,+6,+0.28,+1.42,33.5,28.7,+4.9,+0.23,+0.65
374,Luca Koleosho,it ITA,"MF,FW",Burnley,18,2004,15,974,65,28.5,10.8,13,69,0,2,38,0,0.47,11,23,-12,-1.11,-0.19,9.0,15.4,-6.5,-0.60,+0.26
375,Ibrahima Konaté,fr FRA,DF,Liverpool,24,1999,22,1574,72,46.0,17.5,17,87,14,5,20,11,2.00,38,18,+20,+1.14,-0.08,41.3,21.9,+19.4,+1.11,+0.01
376,Ezri Konsa,eng ENG,DF,Aston Villa,25,1997,35,3069,88,89.7,34.1,35,88,30,0,,0,1.77,68,54,+14,+0.41,+0.15,55.1,52.2,+2.9,+0.08,-0.05
377,Lewis Koumas,wls WAL,MF,Liverpool,17,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,
378,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,33,1989,12,212,18,6.2,2.4,2,64,0,10,8,18,1.33,1,6,-5,-2.12,-1.76,1.4,5.9,-4.5,-1.91,-1.95
379,Mateo Kovačić,hr CRO,MF,Manchester City,29,1994,30,1551,52,45.4,17.2,16,81,7,14,18,4,2.43,45,14,+31,+1.80,+0.31,35.7,14.4,+21.3,+1.24,+0.10
380,Emil Krafth,se SWE,DF,Newcastle Utd,28,1994,17,913,54,26.7,10.1,8,90,8,9,21,11,1.71,26,15,+11,+1.08,+0.65,24.8,12.8,+12.0,+1.18,+1.09
381,Tim Krul,nl NED,GK,Luton Town,35,1988,0,,,,,0,,0,0,,37,,,,,,,,,,,
382,Mohammed Kudus,gh GHA,"FW,MF",West Ham,22,2000,33,2484,75,72.6,27.6,27,88,18,6,17,0,1.30,42,61,-19,-0.69,-1.17,36.1,49.0,-12.9,-0.47,+0.09
383,Dejan Kulusevski,se SWE,"FW,MF",Tottenham,23,2000,36,2762,77,80.8,30.7,31,85,21,5,26,0,1.72,57,46,+11,+0.36,+0.08,55.0,48.7,+6.3,+0.20,+0.41
384,Levi Laing,eng ENG,DF,West Ham,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
385,Adam Lallana,eng ENG,"MF,FW",Brighton,35,1988,25,850,34,24.9,9.4,13,53,0,12,13,8,1.24,12,13,-1,-0.11,+0.10,10.9,11.7,-0.8,-0.08,-0.16
386,Tariq Lamptey,gh GHA,"DF,FW",Brighton,22,2000,19,914,48,26.7,10.2,10,67,1,9,27,0,1.32,12,20,-8,-0.79,-0.82,11.1,14.6,-3.5,-0.35,-0.53
387,Aymeric Laporte,es ESP,DF,Manchester City,29,1994,1,12,12,0.4,0.1,0,,0,1,12,0,3.00,0,0,0,0.00,-1.64,0.1,0.1,+0.1,+0.57,-0.62
388,Yasser Larouci,dz ALG,DF,Sheffield Utd,22,2001,11,531,48,15.5,5.9,6,61,0,5,33,23,0.18,5,11,-6,-1.02,+0.95,3.8,13.6,-9.9,-1.67,-0.78
389,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,29,1993,16,1080,68,31.6,12.0,13,80,9,3,15,10,1.44,23,15,+8,+0.67,+0.09,24.5,17.5,+7.1,+0.59,+0.30
390,Roméo Lavia,be BEL,MF,Chelsea,19,2004,1,33,33,1.0,0.4,0,,0,1,33,1,3.00,1,0,+1,+2.73,+2.38,1.6,0.3,+1.3,+3.63,+3.23
391,Mario Lemina,ga GAB,MF,Wolves,29,1993,35,2968,85,86.8,33.0,34,86,26,1,40,0,1.14,43,55,-12,-0.36,+0.23,40.5,59.0,-18.6,-0.56,-0.08
392,Noha Lemina,fr FRA,FW,Wolves,18,2005,0,,,,,0,,0,0,,5,,,,,,,,,,,
393,Clément Lenglet,fr FRA,DF,Aston Villa,28,1995,14,1153,82,33.7,12.8,14,82,11,0,,20,1.29,22,27,-5,-0.39,-1.18,20.4,23.4,-3.0,-0.23,-0.49
394,Bernd Leno,de GER,GK,Fulham,31,1992,38,3420,90,100.0,38.0,38,90,38,0,,0,1.24,55,61,-6,-0.16,,50.8,62.9,-12.1,-0.32,
395,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,28,1994,28,2400,86,70.2,26.7,27,88,22,1,15,0,1.07,32,46,-14,-0.52,-1.67,31.7,37.5,-5.8,-0.22,-0.42
396,Rico Lewis,eng ENG,"DF,MF",Manchester City,18,2004,16,809,51,23.7,9.0,8,83,4,8,19,22,2.25,26,9,+17,+1.89,+0.34,19.1,9.0,+10.1,+1.12,-0.08
397,Keane Lewis-Potter,eng ENG,"FW,DF",Brentford,22,2001,30,1441,48,42.1,16.0,15,78,2,15,18,3,0.93,24,29,-5,-0.31,-0.13,26.4,20.9,+5.4,+0.34,+0.49
398,Myles Lewis-Skelly,eng ENG,MF,Arsenal,16,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
399,Victor Lindelöf,se SWE,DF,Manchester Utd,29,1994,19,1328,70,38.8,14.8,14,82,7,5,37,2,1.95,18,16,+2,+0.14,+0.26,24.7,26.0,-1.3,-0.09,+0.39
400,Valentino Livramento,eng ENG,DF,Newcastle Utd,20,2002,26,1314,51,38.4,14.6,12,84,8,14,22,7,1.73,31,27,+4,+0.27,-0.54,29.7,28.5,+1.3,+0.09,-0.48
401,Giovani Lo Celso,ar ARG,MF,Tottenham,27,1996,22,506,23,14.8,5.6,4,78,0,18,11,6,1.32,12,12,0,0.00,-0.40,12.6,12.5,+0.1,+0.02,-0.13
402,Tom Lockyer,wls WAL,DF,Luton Town,28,1994,14,1169,84,34.2,13.0,14,84,10,0,,0,0.64,12,23,-11,-0.85,+0.03,12.7,27.0,-14.3,-1.10,-0.25
403,Andy Lonergan,ie IRL,GK,Everton,39,1983,0,,,,,0,,0,0,,10,,,,,,,,,,,
404,Sean Longstaff,eng ENG,MF,Newcastle Utd,25,1997,35,2747,78,80.3,30.5,30,88,25,5,24,0,1.54,74,50,+24,+0.79,+0.92,61.9,50.4,+11.5,+0.38,-0.04
405,Max Lowe,eng ENG,"DF,MF",Sheffield Utd,26,1997,10,503,50,14.7,5.6,4,71,1,6,37,3,0.70,6,12,-6,-1.07,+0.87,7.0,11.0,-4.0,-0.71,+0.35
406,Douglas Luiz,br BRA,MF,Aston Villa,25,1998,35,2993,86,87.5,33.3,35,86,26,0,,0,1.69,65,57,+8,+0.24,-1.23,56.4,52.7,+3.7,+0.11,+0.18
407,Jayden Luker,eng ENG,MF,Luton Town,18,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,
408,Saša Lukić,rs SRB,MF,Fulham,26,1996,24,1122,47,32.8,12.5,13,77,5,11,12,9,1.08,14,20,-6,-0.48,-0.48,16.7,22.6,-5.9,-0.47,-0.23
409,Ian Maatsen,nl NED,"FW,MF",Chelsea,21,2002,12,209,17,6.1,2.3,1,57,0,11,14,8,1.67,2,5,-3,-1.29,-1.77,4.5,5.2,-0.6,-0.28,-0.76
410,Alexis Mac Allister,ar ARG,MF,Liverpool,24,1998,33,2599,79,76.0,28.9,31,83,17,2,17,0,2.15,62,34,+28,+0.97,-0.89,66.1,34.9,+31.2,+1.08,-0.11
411,James Maddison,eng ENG,MF,Tottenham,26,1996,28,2135,76,62.4,23.7,26,80,4,2,29,0,1.86,46,31,+15,+0.63,+0.77,41.9,33.2,+8.7,+0.37,+0.64
412,Noni Madueke,eng ENG,FW,Chelsea,21,2002,23,1053,46,30.8,11.7,13,70,2,10,14,10,1.74,28,19,+9,+0.77,+0.58,23.8,18.3,+5.6,+0.48,+0.06
413,Gabriel Magalhães,br BRA,DF,Arsenal,25,1997,36,3044,85,89.0,33.8,34,89,32,2,13,2,2.36,78,26,+52,+1.54,-0.86,65.0,25.7,+39.3,+1.16,-0.98
414,Harry Maguire,eng ENG,DF,Manchester Utd,30,1993,22,1653,75,48.3,18.4,18,88,17,4,20,3,1.68,33,29,+4,+0.22,+0.47,30.6,36.1,-5.5,-0.30,+0.05
415,Kobbie Mainoo,eng ENG,MF,Manchester Utd,18,2005,24,1924,80,56.3,21.4,24,80,7,0,,5,1.50,33,31,+2,+0.09,+0.27,28.4,42.4,-14.0,-0.65,-0.74
416,Orel Mangala,be BEL,MF,Nott'ham Forest,25,1998,20,1563,78,45.7,17.4,19,82,10,1,4,1,0.85,16,31,-15,-0.86,-0.72,17.3,24.7,-7.4,-0.43,-0.62
417,Javier Manquillo,es ESP,DF,Newcastle Utd,29,1994,0,,,,,0,,0,0,,1,,,,,,,,,,,
418,Benson Manuel,ao ANG,"MF,FW",Burnley,26,1997,8,116,15,3.4,1.3,1,45,0,7,10,13,0.13,0,5,-5,-3.88,-3.01,0.5,4.3,-3.8,-3.00,-2.29
419,Solly March,eng ENG,"FW,DF",Brighton,29,1994,7,554,79,16.2,6.2,7,79,2,0,,1,1.43,13,11,+2,+0.32,+0.61,11.3,10.0,+1.2,+0.20,+0.19
420,Emiliano Marcondes,dk DEN,"FW,MF",Bournemouth,28,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,
421,Louie Marsh,eng ENG,FW,Sheffield Utd,19,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,
422,Callum Marshall,nir NIR,FW,West Ham,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
423,Filip Marshall,eng ENG,GK,Aston Villa,20,2003,0,,,,,0,,0,0,,10,,,,,,,,,,,
424,Anthony Martial,fr FRA,FW,Manchester Utd,27,1995,13,448,34,13.1,5.0,5,65,0,8,16,3,1.38,11,6,+5,+1.00,+1.19,7.5,8.0,-0.4,-0.09,+0.27
425,Gabriel Martinelli,br BRA,FW,Arsenal,22,2001,35,2019,58,59.0,22.4,24,74,4,11,22,0,2.34,52,23,+29,+1.29,-0.83,43.8,14.5,+29.3,+1.30,+0.09
426,Emiliano Martínez,ar ARG,GK,Aston Villa,30,1992,34,3015,89,88.2,33.5,34,89,33,0,,0,1.91,72,48,+24,+0.72,+2.72,58.8,49.8,+9.0,+0.27,+1.52
427,Lisandro Martínez,ar ARG,DF,Manchester Utd,25,1998,11,646,59,18.9,7.2,8,74,2,3,19,0,1.82,12,12,0,0.00,+0.03,11.0,11.5,-0.5,-0.07,+0.32
428,Dominic Martins,pt POR,MF,Luton Town,17,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,
429,Han-Noah Massengo,fr FRA,"MF,DF",Burnley,22,2001,3,16,5,0.5,0.2,0,,0,3,5,5,0.33,2,0,+2,+11.25,+12.28,1.1,0.7,+0.4,+2.43,+3.23
430,Pape Matar Sarr,sn SEN,MF,Tottenham,20,2002,34,2069,61,60.5,23.0,27,71,4,7,23,0,1.79,40,27,+13,+0.57,+0.57,37.6,34.2,+3.4,+0.15,+0.05
431,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,26,1997,35,2282,65,66.7,25.4,25,83,13,10,21,2,1.23,46,44,+2,+0.08,+0.32,33.5,38.8,-5.3,-0.21,-0.35
432,Roshaun Mathurin,eng ENG,FW,Crystal Palace,19,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
433,Joël Matip,cm CMR,DF,Liverpool,31,1991,10,781,78,22.8,8.7,9,84,6,1,25,4,2.30,20,9,+11,+1.27,+0.11,16.6,11.3,+5.3,+0.61,-0.64
434,Alex Matos,eng ENG,MF,Chelsea,18,2004,1,1,1,0.0,0.0,0,,0,1,1,12,3.00,0,0,0,0.00,-0.37,0.0,0.0,0.0,0.00,-0.43
435,Remi Matthews,eng ENG,GK,Crystal Palace,29,1994,1,4,4,0.1,0.0,0,,0,1,4,28,0.00,0,1,-1,-22.50,-22.50,0.3,0.1,+0.2,+5.54,+5.64
436,Neal Maupay,fr FRA,FW,Brentford,26,1996,29,1321,46,38.6,14.7,13,83,5,16,15,2,0.97,24,35,-11,-0.75,-0.84,24.1,25.1,-1.0,-0.07,-0.21
437,Neal Maupay,fr FRA,FW,Everton,26,1996,2,111,56,3.2,1.2,1,71,0,1,40,1,0.00,0,2,-2,-1.62,-1.38,2.8,1.5,+1.3,+1.08,+1.15
438,Konstantinos Mavropanos,gr GRE,DF,West Ham,25,1997,19,1500,79,43.9,16.7,16,88,15,3,30,10,1.32,27,27,0,0.00,+0.66,23.7,29.4,-5.7,-0.34,+0.27
439,Kevin Mbabu,ch SUI,"DF,MF",Fulham,28,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,
440,Bryan Mbeumo,cm CMR,FW,Brentford,23,1999,25,1960,78,57.3,21.8,22,87,18,3,17,0,1.28,37,31,+6,+0.28,+1.20,36.2,28.3,+8.0,+0.37,+0.72
441,James Mcatee,eng ENG,"MF,FW",Sheffield Utd,20,2002,30,1822,61,53.3,20.2,20,78,7,10,25,2,0.50,19,65,-46,-2.27,-0.98,21.8,39.9,-18.0,-0.89,+0.25
442,James Mcatee,eng ENG,MF,Manchester City,20,2002,1,1,1,0.0,0.0,0,,0,1,1,2,3.00,0,0,0,0.00,-1.63,0.0,0.0,0.0,+3.22,+2.04
443,John Mcatee,eng ENG,"FW,MF",Luton Town,24,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
444,Oliver McBurnie,sct SCO,FW,Sheffield Utd,27,1996,21,1280,61,37.4,14.2,15,75,6,6,25,3,0.29,20,40,-20,-1.41,+0.65,18.2,25.8,-7.6,-0.53,+0.76
